web-scraper-order,web-scraper-start-url,getcomments
"1618405986-249","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
"1618405986-256","https://www.instagram.com/p/CNoSB5ZDGfI/","6 and 7 👏👏👏👏👏"
"1618405986-255","https://www.instagram.com/p/CNoSB5ZDGfI/","7"
"1618405986-338","https://www.instagram.com/p/CNoSB5ZDGfI/","6&8"
"1618405986-227","https://www.instagram.com/p/CNoSB5ZDGfI/","2 and 8!"
"1618405986-91","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8"
"1618405986-272","https://www.instagram.com/p/CNoSB5ZDGfI/","6 and 7"
"1618405986-267","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-208","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-234","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
